Title,Description,URL
"VoiceMe - Funding, Financials, Valuation & Investors",,https://www.crunchbase.com/organization/voiceme/company_financials
"CHOOOSE - Funding, Financials, Valuation & Investors",,https://www.crunchbase.com/organization/chooose/company_financials
"October - Funding, Financials, Valuation & Investors",,https://www.crunchbase.com/organization/lendix/company_financials
"Netskope - Funding, Financials, Valuation & Investors",,https://www.crunchbase.com/organization/netskope/company_financials
"SuperCluster Pi - Funding, Financials, Valuation & Investors",,https://www.crunchbase.com/organization/supercluster-pi/company_financials
"myInterview - Funding, Financials, Valuation & Investors",,https://www.crunchbase.com/organization/myinterview/company_financials
"Capella Space - Funding, Financials, Valuation & Investors",,https://www.crunchbase.com/organization/capella-space/company_financials
"OpenAI - Funding, Financials, Valuation & Investors",,https://www.crunchbase.com/organization/openai/company_financials
"Amazon - Funding, Financials, Valuation & Investors",,https://www.crunchbase.com/organization/amazon/company_financials
"Amferia - Funding, Financials, Valuation & Investors",,https://www.crunchbase.com/organization/amferia/company_financials
"Keyzy - Funding, Financials, Valuation & Investors - Crunchbase",,https://www.crunchbase.com/organization/keyzy-9dcb/company_financials
"Amferia - Funding, Financials, Valuation & Investors",,https://www.crunchbase.com/organization/amferia/company_financials
"Resilience - Funding, Financials, Valuation & Investors",,https://www.crunchbase.com/organization/resilience-e701/investor_financials
"Omnipack - Funding, Financials, Valuation & Investors",,https://www.crunchbase.com/organization/omnipack/company_financials
"Medyria - Funding, Financials, Valuation & Investors",,https://www.crunchbase.com/organization/medyria/company_financials
"Cleary - Funding, Financials, Valuation & Investors",,https://www.crunchbase.com/organization/cleary/company_financials
"Cruisebound - Funding, Financials, Valuation & Investors",,https://www.crunchbase.com/organization/cruisebound/company_financials
"awork - Funding, Financials, Valuation & Investors - Crunchbase",,https://www.crunchbase.com/organization/awork-86f2/company_financials
"Hystar - Funding, Financials, Valuation & Investors - Crunchbase",,https://www.crunchbase.com/organization/hystar-706a/company_financials
"zavvie - Funding, Financials, Valuation & Investors - Crunchbase",,https://www.crunchbase.com/organization/zavvie/company_financials
